COUNTRY,IDCNTRY,IDSTUD
DEU,(280) Germany,205010123
DEU,(280) Germany,205010124
DEU,(280) Germany,205010125
DEU,(280) Germany,205010126
DEU,(280) Germany,205010127
DEU,(280) Germany,205020101
DEU,(280) Germany,205020102
DEU,(280) Germany,205020103
DEU,(280) Germany,205020104
DEU,(280) Germany,205020105
DEU,(280) Germany,205020106
DEU,(280) Germany,205020107
DEU,(280) Germany,205020108
DEU,(280) Germany,205020109
DEU,(280) Germany,205020110
DEU,(280) Germany,205020111
DEU,(280) Germany,205020112
DEU,(280) Germany,205020113
DEU,(280) Germany,205020114
DEU,(280) Germany,205020115
DEU,(280) Germany,205020116
DEU,(280) Germany,205020117
DEU,(280) Germany,205020118
DEU,(280) Germany,205020119
DEU,(280) Germany,205020120
DEU,(280) Germany,205020121
DEU,(280) Germany,205020122
DEU,(280) Germany,205020123
DEU,(280) Germany,205020124
DEU,(280) Germany,205020125
DEU,(280) Germany,301010101
DEU,(280) Germany,301010102
DEU,(280) Germany,301010103
DEU,(280) Germany,301010104
DEU,(280) Germany,301010105
DEU,(280) Germany,301010106
DEU,(280) Germany,301010107
DEU,(280) Germany,301010108
DEU,(280) Germany,301010109
DEU,(280) Germany,301010110
DEU,(280) Germany,301010111
DEU,(280) Germany,301010112
DEU,(280) Germany,301010113
DEU,(280) Germany,301010114
DEU,(280) Germany,301010115
DEU,(280) Germany,301010116
DEU,(280) Germany,301010117
DEU,(280) Germany,301010118
DEU,(280) Germany,301010119
DEU,(280) Germany,301010120
DEU,(280) Germany,301010121
DEU,(280) Germany,301010122
DEU,(280) Germany,301010123
DEU,(280) Germany,301020101
DEU,(280) Germany,301020102
DEU,(280) Germany,301020103
DEU,(280) Germany,301020104
DEU,(280) Germany,301020105
DEU,(280) Germany,301020106
DEU,(280) Germany,301020107
DEU,(280) Germany,301020108
DEU,(280) Germany,301020109
DEU,(280) Germany,301020110
DEU,(280) Germany,301020111
DEU,(280) Germany,301020112
DEU,(280) Germany,301020113
DEU,(280) Germany,301020114
DEU,(280) Germany,301020115
DEU,(280) Germany,301020116
DEU,(280) Germany,301020117
DEU,(280) Germany,301020118
DEU,(280) Germany,301020119
DEU,(280) Germany,301020120
DEU,(280) Germany,301020121
DEU,(280) Germany,301020122
DEU,(280) Germany,301020123
DEU,(280) Germany,301020124
DEU,(280) Germany,301020125
DEU,(280) Germany,301030101
DEU,(280) Germany,301030102
DEU,(280) Germany,301030103
DEU,(280) Germany,301030104
DEU,(280) Germany,301030105
DEU,(280) Germany,301030106
DEU,(280) Germany,301030107
DEU,(280) Germany,301030108
DEU,(280) Germany,301030109
DEU,(280) Germany,301030110
DEU,(280) Germany,301030111
DEU,(280) Germany,301030112
DEU,(280) Germany,301030113
DEU,(280) Germany,301030114
DEU,(280) Germany,301030115
DEU,(280) Germany,301030116
DEU,(280) Germany,301030117
DEU,(280) Germany,301030118
DEU,(280) Germany,301030119
DEU,(280) Germany,301030120
DEU,(280) Germany,301030121
DEU,(280) Germany,301040101
DEU,(280) Germany,301040102
DEU,(280) Germany,301040103
DEU,(280) Germany,301040104
DEU,(280) Germany,301040105
DEU,(280) Germany,301040106
DEU,(280) Germany,301040107
DEU,(280) Germany,301040108
DEU,(280) Germany,301040109
DEU,(280) Germany,301040110
DEU,(280) Germany,301040111
DEU,(280) Germany,301040112
DEU,(280) Germany,301040113
DEU,(280) Germany,301040114
DEU,(280) Germany,301040115
DEU,(280) Germany,301040116
DEU,(280) Germany,301040117
DEU,(280) Germany,301040118
DEU,(280) Germany,301040119
DEU,(280) Germany,301060101
DEU,(280) Germany,301060102
DEU,(280) Germany,301060103
DEU,(280) Germany,301060104
DEU,(280) Germany,301060105
DEU,(280) Germany,301060106
DEU,(280) Germany,301060107
DEU,(280) Germany,301060108
DEU,(280) Germany,301060109
DEU,(280) Germany,301060110
DEU,(280) Germany,301060111
DEU,(280) Germany,301060112
DEU,(280) Germany,301060113
DEU,(280) Germany,301060114
DEU,(280) Germany,301060115
DEU,(280) Germany,301060116
DEU,(280) Germany,301060117
DEU,(280) Germany,301060118
DEU,(280) Germany,301060119
DEU,(280) Germany,301060120
DEU,(280) Germany,301060121
DEU,(280) Germany,301060122
DEU,(280) Germany,301070101
DEU,(280) Germany,301070102
DEU,(280) Germany,301070103
DEU,(280) Germany,301070104
DEU,(280) Germany,301070105
DEU,(280) Germany,301070106
DEU,(280) Germany,301070107
DEU,(280) Germany,301070108
DEU,(280) Germany,301070109
DEU,(280) Germany,301070110
DEU,(280) Germany,301070111
DEU,(280) Germany,301070112
DEU,(280) Germany,301070113
DEU,(280) Germany,301070114
DEU,(280) Germany,301070115
DEU,(280) Germany,301070116
DEU,(280) Germany,301070117
DEU,(280) Germany,301070118
DEU,(280) Germany,301070119
DEU,(280) Germany,301070120
DEU,(280) Germany,301080101
DEU,(280) Germany,301080102
DEU,(280) Germany,301080103
DEU,(280) Germany,301080104
DEU,(280) Germany,301080105
DEU,(280) Germany,301080106
DEU,(280) Germany,301080107
DEU,(280) Germany,301080108
DEU,(280) Germany,301080109
DEU,(280) Germany,301080110
DEU,(280) Germany,301080111
DEU,(280) Germany,301080112
DEU,(280) Germany,301080113
DEU,(280) Germany,301080114
DEU,(280) Germany,301080115
DEU,(280) Germany,301080116
DEU,(280) Germany,301080117
DEU,(280) Germany,301080118
DEU,(280) Germany,301080119
DEU,(280) Germany,301080120
DEU,(280) Germany,301080121
DEU,(280) Germany,301080122
DEU,(280) Germany,303010101
DEU,(280) Germany,303010102
DEU,(280) Germany,303010103
DEU,(280) Germany,303010104
DEU,(280) Germany,303010105
DEU,(280) Germany,303010106
DEU,(280) Germany,303010107
DEU,(280) Germany,303010108
DEU,(280) Germany,303010109
DEU,(280) Germany,303010110
DEU,(280) Germany,303010111
DEU,(280) Germany,303010112
DEU,(280) Germany,303010113
DEU,(280) Germany,303010114
DEU,(280) Germany,303010115
DEU,(280) Germany,303010116
DEU,(280) Germany,303010117
DEU,(280) Germany,303010118
DEU,(280) Germany,303010119
DEU,(280) Germany,303010120
DEU,(280) Germany,303010121
DEU,(280) Germany,303010122
DEU,(280) Germany,303010123
DEU,(280) Germany,303010124
DEU,(280) Germany,303010125
DEU,(280) Germany,303010126
DEU,(280) Germany,303010127
DEU,(280) Germany,303010128
DEU,(280) Germany,303010129
DEU,(280) Germany,303010130
DEU,(280) Germany,303010131
DEU,(280) Germany,303020101
DEU,(280) Germany,303020102
DEU,(280) Germany,303020103
DEU,(280) Germany,303020104
DEU,(280) Germany,303020105
DEU,(280) Germany,303020106
DEU,(280) Germany,303020107
DEU,(280) Germany,303020108
DEU,(280) Germany,303020109
DEU,(280) Germany,303020110
DEU,(280) Germany,303020111
DEU,(280) Germany,303020112
DEU,(280) Germany,303020113
DEU,(280) Germany,303020114
DEU,(280) Germany,303020115
DEU,(280) Germany,303020116
DEU,(280) Germany,303020117
DEU,(280) Germany,303020118
DEU,(280) Germany,303020119
DEU,(280) Germany,303020120
DEU,(280) Germany,303020121
DEU,(280) Germany,303020122
DEU,(280) Germany,303020123
DEU,(280) Germany,303020124
DEU,(280) Germany,303030101
DEU,(280) Germany,303030102
DEU,(280) Germany,303030103
DEU,(280) Germany,303030104
DEU,(280) Germany,303030105
DEU,(280) Germany,303030106
DEU,(280) Germany,303030107
DEU,(280) Germany,303030108
DEU,(280) Germany,303030109
DEU,(280) Germany,303030110
DEU,(280) Germany,303030111
DEU,(280) Germany,303030112
DEU,(280) Germany,303030113
DEU,(280) Germany,303030114
DEU,(280) Germany,303030115
DEU,(280) Germany,303030116
DEU,(280) Germany,303030117
DEU,(280) Germany,303030118
DEU,(280) Germany,303030119
DEU,(280) Germany,303030120
DEU,(280) Germany,303030121
DEU,(280) Germany,303030122
DEU,(280) Germany,303030123
DEU,(280) Germany,303030124
DEU,(280) Germany,303040101
DEU,(280) Germany,303040102
DEU,(280) Germany,303040103
DEU,(280) Germany,303040104
DEU,(280) Germany,303040105
DEU,(280) Germany,303040106
DEU,(280) Germany,303040107
